filename,n_vars,n_clauses,is_sat,lm_mean_depth,lm_time,fractional_derivative_1.5,frac_time,holonomy,holonomy_time
uf50-01.cnf,50,218,True,5.6,0.5107440948486328,0.008346730167436646,0.03845477104187012,0.010483722282801531,2.269339084625244
uf50-010.cnf,50,218,True,6.04,0.49170541763305664,0.008493740735514493,0.038042545318603516,0.010340309474768224,2.3567354679107666
uf50-0100.cnf,50,218,True,5.72,0.46404433250427246,0.008176179445600647,0.037328243255615234,0.00774792166989613,2.2535550594329834
uf50-01000.cnf,50,218,True,4.96,0.528395414352417,0.008202841977242054,0.03620290756225586,0.010744405055681175,2.21362042427063
uf50-0101.cnf,50,218,True,4.64,0.502063512802124,0.008341690598527199,0.03827643394470215,0.009986266479270013,2.2249138355255127
uf50-0102.cnf,50,218,True,5.48,0.49406909942626953,0.00818814831943399,0.038366079330444336,0.008387045488365706,2.220365524291992
uf50-0103.cnf,50,218,True,4.56,0.522491455078125,4.6887477145630205,0.03677654266357422,0.008637052469299572,2.253223180770874
uf50-0104.cnf,50,218,True,5.52,0.4734194278717041,0.007974051241260206,0.03864908218383789,0.006597874772609549,2.253373146057129
uf50-0105.cnf,50,218,True,5.32,0.5032331943511963,2.7317793029629884,0.04454326629638672,0.010038399008705125,2.254143238067627
uf50-0106.cnf,50,218,True,5.24,0.5442500114440918,0.008111427430115298,0.03713655471801758,0.00969191709796915,2.324307918548584
uf50-0107.cnf,50,218,True,5.12,0.5241281986236572,3.7716470049117974,0.037888288497924805,0.006520141580846673,2.2786903381347656
uf50-0108.cnf,50,218,True,5.16,0.5351941585540771,0.00849511575302904,0.03921699523925781,0.007325766327595275,2.3517773151397705
uf50-0109.cnf,50,218,True,5.28,0.5417571067810059,0.008225800978928314,0.03650784492492676,0.007756076962184835,2.220752716064453
uf50-011.cnf,50,218,True,6.04,0.47275662422180176,0.008345344193105488,0.038384437561035156,0.01084979301732483,2.2159605026245117
uf50-0110.cnf,50,218,True,5.68,0.49449992179870605,0.008261095215132092,0.03805041313171387,0.008446671096700381,2.2753541469573975
uf50-0111.cnf,50,218,True,5.24,0.5324914455413818,0.008092712368729932,0.03910398483276367,0.006503118492466862,2.346989154815674
uf50-0112.cnf,50,218,True,5.64,0.48465442657470703,0.008349542291093203,0.038889408111572266,0.009201315229081937,2.291766881942749
uf50-0113.cnf,50,218,True,4.6,0.5266520977020264,0.007960399362613191,0.03905344009399414,0.008123165363006585,2.251429557800293
uf50-0114.cnf,50,218,True,4.92,0.5196630954742432,0.008189198788484075,0.036206960678100586,0.010385886964039652,2.2228965759277344
uf50-0115.cnf,50,218,True,5.4,0.5029661655426025,0.008288220829700862,0.038552284240722656,0.00932689055145575,2.2342114448547363
uf50-0116.cnf,50,218,True,4.96,0.5189614295959473,0.008391653745246346,0.03779149055480957,0.008403723592417403,2.274564743041992
uf50-0117.cnf,50,218,True,3.24,0.5405967235565186,2.2544673807643,0.03884458541870117,0.012458815873057897,2.3069205284118652
uf50-0118.cnf,50,218,True,5.48,0.5425353050231934,0.007996382933710345,0.06368875503540039,0.011345865791190797,2.288933277130127
uf50-0119.cnf,50,218,True,5.88,0.4766712188720703,0.008596566177440137,0.03662419319152832,0.008634664610831054,2.2021729946136475
uf50-012.cnf,50,218,True,6.28,0.4795396327972412,0.008490853173545863,0.037532806396484375,0.010563410607594073,2.2338624000549316
uf50-0120.cnf,50,218,True,5.56,0.5451874732971191,0.00811005247557096,0.03761482238769531,0.008296163045290522,2.1819117069244385
uf50-0121.cnf,50,218,True,5.2,0.4904747009277344,0.008082960046303074,0.0375523567199707,0.009496693042955745,2.2618446350097656
